"","CUS_ID","d_v_ 1","d_v_ 2","d_v_ 3","d_v_ 4","d_v_ 5","d_v_ 6","d_v_ 7","d_v_ 8","d_v_ 9","d_v_ 10","d_v_ 11","d_v_ 12","d_v_ 13","d_v_ 14","d_v_ 15","d_v_ 16","d_v_ 17","d_v_ 18","d_v_ 19","d_v_ 20","d_v_ 21","d_v_ 22","n_v_ 1","n_v_ 2","n_v_ 3","n_v_ 4","n_v_ 5","n_v_ 6","n_v_ 7","n_v_ 8","n_v_ 9","n_v_ 10","n_v_ 11","n_v_ 12","n_v_ 13","n_v_ 14","n_v_ 15","n_v_ 16","n_v_ 17","n_v_ 18","n_v_ 19","n_v_ 20","n_v_ 21","n_v_ 22","p_v_ 1","p_v_ 2","p_v_ 3","p_v_ 4","p_v_ 5","p_v_ 6","p_v_ 7","p_v_ 8","p_v_ 9","p_v_ 10","p_v_ 11","p_v_ 12","p_v_ 13","p_v_ 14","p_v_ 15","p_v_ 16","p_v_ 17","p_v_ 18","p_v_ 19","p_v_ 20","p_v_ 21","p_v_ 22"
"15",15,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,NA,NA,2,101,102,1,52,NA,9,8,2116,NA,21,8,1,120,3361,38,14,4,374,NA,NA,NA,0,0.016,0.016,0,0.008,NA,0.001,0.001,0.334,NA,0.003,0.001,0,0.019,0.531,0.006,0.002,0.001,0.059,NA
"16",16,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,10,9,60,NA,NA,NA,NA,5,39,1,12,4,24,1,861,1,86,1,134,NA,0.001,0.001,0.008,0.007,0.048,NA,NA,NA,NA,0.004,0.031,0.001,0.01,0.003,0.019,0.001,0.689,0.001,0.069,0.001,0.107,NA
"17",17,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,2,NA,1,137,66,NA,30,NA,6,34,172,1,17,NA,NA,10,714,8,17,3,109,NA,0.002,NA,0.001,0.103,0.05,NA,0.023,NA,0.005,0.026,0.13,0.001,0.013,NA,NA,0.008,0.538,0.006,0.013,0.002,0.082,NA
"18",18,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,NA,NA,7,298,277,NA,23,7,3,2,436,NA,147,7,65,2,1084,8,12,6,86,2,NA,NA,0.003,0.121,0.112,NA,0.009,0.003,0.001,0.001,0.176,NA,0.059,0.003,0.026,0.001,0.439,0.003,0.005,0.002,0.035,0.001
"19",19,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,19,6,NA,290,328,NA,31,6,20,10,282,3,31,1,6,6,812,5,29,59,125,NA,0.009,0.003,NA,0.14,0.159,NA,0.015,0.003,0.01,0.005,0.136,0.001,0.015,0,0.003,0.003,0.392,0.002,0.014,0.029,0.06,NA
"20",20,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,4,135,69,18,11,1,4,14,224,4,16,49,2,5,611,21,40,2,71,1,NA,NA,0.003,0.104,0.053,0.014,0.008,0.001,0.003,0.011,0.172,0.003,0.012,0.038,0.002,0.004,0.469,0.016,0.031,0.002,0.055,0.001
"21",21,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,NA,NA,NA,23,10,NA,3,NA,1,NA,32,NA,2,1,1,NA,575,15,35,1,22,NA,NA,NA,NA,0.032,0.014,NA,0.004,NA,0.001,NA,0.044,NA,0.003,0.001,0.001,NA,0.798,0.021,0.049,0.001,0.031,NA
"22",22,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,NA,2,28,150,2,22,NA,2,67,346,NA,16,9,4,6,1849,68,5,2,126,NA,0,NA,0.001,0.01,0.055,0.001,0.008,NA,0.001,0.025,0.128,NA,0.006,0.003,0.001,0.002,0.684,0.025,0.002,0.001,0.047,NA
"23",23,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,NA,NA,26,86,451,1,73,NA,8,5,1655,NA,69,3,829,2,1989,9,10,11,202,NA,NA,NA,0.005,0.016,0.083,0,0.013,NA,0.001,0.001,0.305,NA,0.013,0.001,0.153,0,0.366,0.002,0.002,0.002,0.037,NA
"24",24,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,20,121,1,327,1753,NA,3,1,2,NA,163,NA,11,1,4,1,1296,3,13,3,77,NA,0.005,0.032,0,0.086,0.461,NA,0.001,0,0.001,NA,0.043,NA,0.003,0,0.001,0,0.341,0.001,0.003,0.001,0.02,NA
"25",25,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,4,1,1056,984,NA,18,5,6,62,1679,28,44,7,8,87,3928,6,31,83,359,NA,NA,0,0,0.126,0.117,NA,0.002,0.001,0.001,0.007,0.2,0.003,0.005,0.001,0.001,0.01,0.468,0.001,0.004,0.01,0.043,NA
"26",26,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,3,50,NA,162,470,NA,19,NA,7,26,209,14,349,NA,17,5,1422,13,20,8,906,NA,0.001,0.014,NA,0.044,0.127,NA,0.005,NA,0.002,0.007,0.056,0.004,0.094,NA,0.005,0.001,0.384,0.004,0.005,0.002,0.245,NA
"27",27,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2,NA,3,114,447,1,21,11,5,10,1187,NA,22,29,5,6,3034,48,22,7,363,NA,0,NA,0.001,0.021,0.084,0,0.004,0.002,0.001,0.002,0.222,NA,0.004,0.005,0.001,0.001,0.568,0.009,0.004,0.001,0.068,NA
"28",28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,111,867,3,39,16,55,12,382,134,177,55,23,5,2201,8,52,5,870,1,0,0.001,0.001,0.022,0.172,0.001,0.008,0.003,0.011,0.002,0.076,0.027,0.035,0.011,0.005,0.001,0.438,0.002,0.01,0.001,0.173,0
"29",29,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,17,1,NA,199,88,2,4,NA,1,6,148,NA,53,5,NA,5,334,15,16,2,102,NA,0.017,0.001,NA,0.199,0.088,0.002,0.004,NA,0.001,0.006,0.148,NA,0.053,0.005,NA,0.005,0.335,0.015,0.016,0.002,0.102,NA
"30",30,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,5,NA,3,8,1031,NA,7,1,2,4,184,9,61,NA,37,11,1947,2,3,6,1048,NA,0.001,NA,0.001,0.002,0.236,NA,0.002,0,0,0.001,0.042,0.002,0.014,NA,0.008,0.003,0.446,0,0.001,0.001,0.24,NA
"31",31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,69,203,52,496,9,4,3,32,7,408,6,487,9,52,2,2230,3,13,8,655,NA,0.001,0.015,0.043,0.011,0.104,0.002,0.001,0.001,0.007,0.001,0.086,0.001,0.102,0.002,0.011,0,0.469,0.001,0.003,0.002,0.138,NA
"32",32,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,10,NA,8,260,477,3,24,5,6,20,1022,2,40,72,11,21,3270,4,36,18,312,NA,0.002,NA,0.001,0.046,0.085,0.001,0.004,0.001,0.001,0.004,0.182,0,0.007,0.013,0.002,0.004,0.582,0.001,0.006,0.003,0.056,NA
