,Overall
time_pat2_we오전,0.059262550993
month_pat34월,0.058136025806
time_pat2_we새벽,0.05543682218
month_pat33월,0.054519239447
time_pat2_wk새벽,0.053876311095
d_v_.15,0.052918454554
time_pat3아침,0.051006627832
s_v_min,0.047722993827
time_pat_wk출근,0.047700185394
month_pat312월,0.046046522079
time_pat1아침,0.041556057718
month_pat23월,0.040907508387
month_pat311월,0.040610228658
time_pat1오후,0.039454789852
month_pat22월,0.039014481204
month_pat29월,0.03759910661
time_pat2_we출근,0.036977299278
time_pat1출근,0.028415621548
month_pat31월,0.026100065585
d_v_.18,0.01966247167
d_v_.4,0.015847726346
d_v_.13,0.014509990106
month_pat211월,0.006568348099
v_t_min,0
v_pr_min,0
d_v_.5,0
d_v_.11,0
d_v_.17,0
d_v_.21,0
