,Overall
V290,3.9759371151
V96,3.9626928938
mon_coef_cnt,3.9626366647
V128,3.957771966
V156,3.9567487023
V235,3.9548629497
V48,3.9527352975
v_t_sd,3.9428217979
V65,3.9373034735
횟수비율_서비스,3.9119863507
V212,3.906862813
V237,3.9011636702
V5,3.8968807427
p_v_.13,3.8859618879
V46,3.8690117173
시간비율_생활.가정.취미,3.8629755531
cons_num9_we,3.8618115936
V82,3.8528157905
V104,3.8378199236
V26,3.8044620373
횟수비율_생활.가정.취미,3.7984066544
V265,3.7971133265
day_coef_visit,3.7963237603
cons_time9_we,3.7871853726
V298,3.7860724343
cat_coef_cnt,3.7834636094
day_coef_cnt,3.7769568901
mon_coef_visit,3.7580106897
시간비율_금융.부동산,3.7480903964
소모시간_금융.부동산,3.741669073
V198,3.7351438498
V129,3.7297802139
n_v_.21,3.7103197978
V18,3.7059892403
시간비율_제조,3.701883279
V6,3.7018057938
V244,3.6976042742
소모시간_서비스,3.689685127
V54,3.6875477406
시간비율_서비스,3.6748175012
시간비율_엔터테인먼트,3.6443019897
횟수_서비스,3.6205839682
p_v_.19,3.6117485934
횟수비율_제조,3.5924289567
V145,3.5892382249
p_v_.10,3.5786494825
V194,3.5623265739
V247,3.559441621
V110,3.5563815902
wednes_z2,3.5475126702
시간비율_건강.의학,3.5179024031
V275,3.5105842783
p_v_.18,3.4954188176
시간비율_인터넷.컴퓨터,3.4744682385
횟수비율_정보통신.IT,3.4738808473
p_v_.16,3.4729431289
s_t_max,3.4699968969
V164,3.4596766636
cat_coef_time,3.4449432248
fri_z2,3.4446443935
p_v_.7,3.4273461683
V261,3.4266758135
횟수_생활.가정.취미,3.4257376622
소모시간_생활.가정.취미,3.4110684078
mon_coef_time,3.3989839555
day_coef_time,3.3795953712
V144,3.3714901409
tues_ratio3,3.3570521412
net_day,3.3514671195
횟수비율_게임,3.3483868735
횟수비율_비즈니스.경제,3.3204699038
횟수비율_온라인교육,3.3202185252
s_pr_sd,3.3181979369
p_v_.11,3.2825186244
소모시간_정보통신.IT,3.2722037755
시간비율_정보통신.IT,3.2650175266
소모시간_제조,3.2513077341
V232,3.1923062623
s_t_median,3.1779673102
time_coef_time,3.17440032
fri_z3,3.1213040985
V173,3.1147621192
횟수비율_엔터테인먼트,3.0992200247
시간비율_쇼핑,3.0986721198
fri_ratio3,3.0726266263
p_v_.15,3.0327365709
dec_time,3.029489148
s_pr_median,3.0262571661
tues_z3,3.0249211789
횟수_게임,3.016408644
횟수_뉴스.미디어,3.0154242454
횟수_정치.행정,3.0016120584
tues_ratio2,2.9906968602
fri_ratio2,2.9796101614
cons_num13_we,2.9762187134
횟수_정보통신.IT,2.9467525297
횟수비율_유통.판매.운송,2.9463326417
wednes_ratio,2.9403639369
thurs_ratio3,2.9394872931
s_v_max,2.9297235974
cons_num12_we,2.924593797
s_pr_max,2.910699226
wednes_z3,2.9035438258
thurs_z3,2.9009539288
횟수비율_정치.행정,2.8958658342
nov_z3,2.8713600728
소모시간_엔터테인먼트,2.8713456738
fri_ratio,2.8435542415
mon_ratio3,2.8414632314
s_t_sd,2.8274983022
v_t_mean,2.8083914039
시간비율_비즈니스.경제,2.7843002441
jan_time,2.7723469631
wednes_z,2.7716610024
thurs_z,2.7678255913
jan_cnt,2.7613920204
dec_ratio2,2.758996266
tues_ratio,2.7407848302
p_v_.3,2.7297489001
p_v_.8,2.7274600318
mar_z2,2.7215491963
tues_z2,2.7174345222
mon_z3,2.7132151112
cons_cnt9_we,2.7080514157
nov_ratio2,2.7044463984
dec_ratio3,2.6981774191
fri_z,2.692064709
p_v_.2,2.6833748287
wk_day,2.6829466165
wednes_day,2.6807621839
mean_time,2.676129131
소모시간_온라인교육,2.6742216555
n_v_.9,2.6719971048
jan_z3,2.6667793701
jan_day,2.65400623
nov_time,2.6510181231
dec_cnt,2.6455977476
time_coef_visits,2.6296141013
cons_cnt13_we,2.6293699329
fab_z2,2.6214442165
mon_z2,2.6174252954
time_coef_cnt,2.6128514435
소모시간_쇼핑,2.6084276998
time13_z_we,2.6074422733
wednes_ratio3,2.6036215363
시간비율_정치.행정,2.60039251
fri_day,2.600322912
mar_cnt,2.5959400601
횟수_비즈니스.경제,2.5866091149
횟수_제조,2.5852722586
dec_z2,2.5836958932
횟수_엔터테인먼트,2.5790081754
시간비율_여행,2.5730615573
dec_z3,2.5722729261
jan_z2,2.5658044522
dec_day,2.5654056724
횟수_쇼핑,2.5601632967
소모시간_커뮤니티,2.5528847116
cons_num18_wk,2.5507736704
oct_cnt,2.5485099994
nov_ratio3,2.5450309472
nov_z,2.5415989828
mean_cnt,2.5305656822
jan_z,2.5229761129
jan_ratio2,2.5195433835
time12_z2_we,2.5158405569
cons_cnt12_ratio_we,2.5138929435
dec_ratio,2.5073661621
tues_z,2.5014856224
time9_z_we,2.5013110147
nov_cnt,2.4737939978
cons_time18_wk,2.4672471355
n_v_.1,2.4623107283
mon_ratio2,2.4618033312
oct_time,2.4588314744
소모시간_정치.행정,2.4560070763
mon_day,2.446554517
time12_z_we,2.444813442
n_v_.18,2.4435151703
cons_time12_ratio_we,2.4354851551
thurs_ratio,2.4250607531
nov_z2,2.4081200814
s_v_mean,2.4062958915
p_v_.12,2.4028382635
소모시간_인터넷.컴퓨터,2.3948850623
cons_time9_ratio_we,2.3938412045
cons_time18,2.381411714
thurs_z2,2.374148612
cons_time12_we,2.3736881071
may_ratio3,2.3604885439
cons_time13_ratio_we,2.359514753
cons_num9_ratio_we,2.3594135995
nov_ratio,2.3586978207
sep_cnt,2.3547336354
fab_day,2.3525946418
cons_time13_we,2.3521557483
횟수_온라인교육,2.3500622972
s_v_sd,2.3443167546
소모시간_비즈니스.경제,2.344120935
thurs_ratio2,2.3400671558
cons_cnt18,2.3369527177
v_pr_mean,2.3346252751
time13_z2_we,2.3243021242
cons_cnt8,2.3121042492
시간비율_교육.학원,2.3010053142
time9_z3_we,2.2934317658
p_v_.14,2.2920165974
jun_ratio,2.2783127959
nov_day,2.2770934897
mar_ratio2,2.2748412694
time13_z3_we,2.2746812182
횟수비율_여행,2.2727927399
소모시간_건강.의학,2.2723615683
소모시간_유통.판매.운송,2.2714371798
횟수_인터넷.컴퓨터,2.2713018066
n_v_.19,2.2682369326
oct_z,2.2654686095
횟수비율_교육.학원,2.2640978023
mon_ratio,2.2626312204
satur_time,2.2593047651
s_pr_mean,2.2576864284
mon_z,2.2555295182
cons_num13_ratio_we,2.2505785034
n_v_.10,2.2478327829
n_v_.11,2.2454702513
tues_day,2.23910505
jul_cnt,2.2320471947
mar_day,2.2313641665
n_v_.20,2.2310396068
oct_z3,2.230046624
fab_time,2.2263680408
cons_num12_ratio_we,2.2205402089
sep_time,2.2105888573
fab_z,2.1964003077
time9_z2_we,2.1766850273
횟수_유통.판매.운송,2.174521741
mar_time,2.1702803345
jun_time,2.1677780657
cons_cnt12_we,2.166038411
apr_z2,2.1609120188
n_v_.13,2.1609118401
fri_cnt,2.1604794247
시간비율_유통.판매.운송,2.1531951309
횟수비율_사회.문화.종교,2.1500489636
cons_time8,2.1477925121
satur_day,2.122141229
apr_ratio2,2.1199238101
sep_ratio3,2.112062621
sep_z3,2.1105783987
jun_ratio2,2.1075390345
fab_z3,2.1067335015
jun_z3,2.1047849165
cons_cnt13_ratio_we,2.0963903339
n_v_.16,2.0934383964
s_t_mean,2.0885895212
소모시간_사회.문화.종교,2.0806421908
소모시간_교육.학원,2.0801911987
n_v_.17,2.0779842801
time8_z2_we,2.0762628276
cons_time12_wk,2.0722239679
oct_day,2.0708776679
fab_ratio2,2.0699475284
satur_ratio2,2.0644832885
thurs_day,2.0629152108
시간비율_사회.문화.종교,2.0531071533
mar_ratio3,2.0457572294
we_cnt,2.0438873078
satur_cnt,2.0431701001
jan_ratio3,2.042569538
cons_num8_wk,2.0382841581
cons_time9,2.029088249
time12_z,2.0181958848
apr_cnt,2.0179500588
cons_cnt18_wk,2.0165011154
횟수_여행,2.0112174424
cons_cnt9_ratio_we,2.0095241085
jan_ratio,2.0056257916
sep_day,2.0018671166
aug_time,2.0004473391
jul_day,1.9972723617
jul_z2,1.9923682532
may_time,1.9891553871
소모시간_여행,1.9889902754
cons_cnt8_we,1.9604817023
cons_num8,1.9595468332
cons_time12_ratio,1.9587186072
time18_z3_we,1.9559567854
cons_time9_wk,1.9556563914
mar_z3,1.9527051194
oct_ratio,1.9422761922
may_z3,1.9418844203
횟수_교육.학원,1.9350667538
time12_z2_wk,1.9330682652
소모시간_스포츠.레저,1.9321693637
mon_cnt,1.9314344234
dec_z,1.9281999972
n_v_.7,1.9218742209
sep_z,1.92183654
mon_time,1.9120075994
time12_z3_we,1.9086227709
fab_cnt,1.9074096267
aug_cnt,1.9032704813
n_v_.15,1.8968540315
cons_time8_ratio,1.8932678212
jun_z2,1.89064351
jun_z,1.8810309083
cons_time8_we,1.8806342241
sun_z2,1.880171735
n_v_.2,1.8766855088
time8_z_we,1.8740157191
we_time,1.8685939424
cons_num18,1.8618948539
apr_time,1.8579714212
fri_time,1.851601523
time13_z,1.8513730426
cons_cnt12_wk,1.8428980882
cons_time12_ratio_wk,1.8368465257
may_z2,1.8341018574
apr_z,1.833926024
aug_ratio2,1.8268056012
may_day,1.8178018033
satur_z2,1.8175196114
may_ratio,1.8084495582
cons_time9_ratio_wk,1.8068719422
jul_time,1.8010115202
cons_cnt18_we,1.7947199578
mar_ratio,1.7901751559
jul_ratio2,1.7867956486
tues_time,1.7790656705
cons_cnt9,1.7762115831
oct_ratio3,1.7745467548
oct_ratio2,1.7738715917
oct_z2,1.7692161382
we_day,1.7691319017
mar_z,1.7685625518
cons_num13,1.766845018
cons_time5,1.765485013
time13_z_wk,1.7639899249
시간비율_스포츠.레저,1.7576067625
