"","Overall"
"we_ratio2",3.75149025185022
"n_v_.18",3.73993780827575
"cons_time13_ratio_wk",3.7004509143358
"s_v_max",3.64450178830222
"소모시간_온라인교육",3.60629849920387
"v_t_mean",3.53819256564957
"p_v_.14",3.53401015320733
"v_pr_sd",3.52236678762325
"mean_cnt",3.50454607373893
"횟수_온라인교육",3.47876166148313
"cons_cnt22_ratio",3.47602865284121
"cons_num8_ratio_we",3.42997398079503
"sep_z3",3.41259718025176
"cons_cnt18_wk",3.35790491729226
"mon_time",3.35316092773182
"n_v_.12",3.35183453606216
"횟수_엔터테인먼트",3.34394571463978
"횟수비율_여행",3.33833529181125
"nov_day",3.28920531649871
"sun_cnt",3.27778658176191
"cons_num8_wk",3.25316276221707
"cons_cnt0_ratio_wk",3.24150869992597
"mon_z3",3.239535157482
"cons_cnt9_we",3.21040802428452
"cons_num8_ratio_wk",3.20500083888925
"may_ratio",3.19644882163204
"may_cnt",3.17587370569177
"n_v_.21",3.16383991030169
"소모시간_엔터테인먼트",3.14502440266513
"cons_num18_ratio_we",3.14317922070532
"day_pat1월요일",3.13696978228404
"time12_z_wk",3.12512852762021
"소모시간_여행",3.10487431289034
"p_v_.6",3.10275101654818
"month_pat211월",3.10136579298995
"time9_z3_we",3.09378717607095
"횟수비율_정보통신.IT",3.07273605666859
"apr_z",3.07093366153683
"mar_cnt",3.06223723873494
"nov_cnt",3.04874334283754
"cons_num22_ratio_wk",3.02831263244195
"month_pat21월",3.0182149410213
"p_v_.16",3.00027121500632
"v_t_sd",2.99707289960932
"time13_z_we",2.98384642138725
"cons_cnt9_ratio_we",2.96044202644194
"time_coef_visits",2.95157445632783
"jan_z3",2.92964620695037
"cons_time5_we",2.92916485513476
"s_t_max",2.92459201288654
"소모시간_사회.문화.종교",2.91449432146589
"소모시간_커뮤니티",2.87004415547172
"time13_z3_we",2.86712930281056
"횟수_스포츠.레저",2.86170072400127
"wednes_ratio3",2.8568551157242
"may_ratio2",2.84592842951001
"cons_time9_wk",2.83986339663341
"mon_ratio",2.83816796857179
"apr_ratio3",2.81607392023562
"dec_z",2.81234611784145
"cons_cnt18_ratio",2.81174175389519
"cons_time9_we",2.80020535538124
"oct_ratio2",2.78501068306871
"wednes_z3",2.77568850290654
"may_z3",2.76219460700914
"p_v_.7",2.73005100243388
"sep_cnt",2.69010949844585
"cons_time5_wk",2.66838983485514
"thurs_ratio2",2.64852070157776
"wk_z3",2.6326628334304
"mar_z",2.60819946449076
"time8_z",2.60187236229233
"time18_z2_we",2.55188665041873
"time12_z3_we",2.55034097625529
"aug_z",2.53882062280186
"s_v_median",2.51260834226553
"wk_ratio3",2.51237836306474
"jun_z3",2.50573035965592
"mon_cnt",2.47215874469437
"jul_cnt",2.42068084219239
"횟수_뉴스.미디어",2.40691952861965
"n_v_.13",2.39123815613801
"p_v_.15",2.38620535548821
"mar_z2",2.37329443012304
"소모시간_금융.부동산",2.32620752585006
"n_v_.9",2.29932135277189
"cons_time18_we",2.29574330427591
"aug_ratio2",2.28978523846944
"jul_ratio2",2.28546911718954
"cons_time0_we",2.2686752871785
"time_pat2_we출근",2.26386176902248
"v_pr_mean",2.24670959932649
"fab_z",2.22205903801412
"n_v_.10",2.1919478077714
"sun_ratio2",2.14065709764216
"n_v_.3",2.13495575280402
"nov_z3",2.12499177022104
"cons_cnt12",2.11639161778227
"time13_z3",2.08829671681158
"nov_ratio3",2.07936496645539
"시간비율_유통.판매.운송",2.07388825246453
"s_pr_mean",2.06198816591213
"횟수_여행",2.04963881766516
"day_pat1목요일",2.04334915394129
"jul_z",2.04185161495941
"cons_time8",2.02854491143474
"time13_z2",1.97728094307303
"cons_cnt5_ratio_we",1.97679959125743
"sum_time",0
"sum_cnt",0
"wk_time",0
"we_time",0
"wk_ratio1",0
"we_ratio1",0
"wk_z",0
"we_z",0
"wk_pat1주말형",0
"wk_pat1주중형",0
"wk_z2",0
"we_z2",0
"wk_pat2주말형",0
"wk_pat2주중형",0
"wk_cnt",0
"we_cnt",0
"we_ratio3",0
"we_z3",0
"wk_pat3주말형",0
"wk_pat3주중형",0
"tues_time",0
"wednes_time",0
"thurs_time",0
"fri_time",0
"satur_time",0
"sun_time",0
"tues_ratio",0
"thurs_ratio",0
"fri_ratio",0
"satur_ratio",0
"sun_ratio",0
"wednes_z",0
"thurs_z",0
"fri_z",0
"satur_z",0
"sun_z",0
"day_pat1수요일",0
"day_pat1유형없음",0
"day_pat1일요일",0
"day_pat1토요일",0
"day_pat1화요일",0
"tues_day",0
"thurs_day",0
"fri_day",0
"satur_day",0
"sun_day",0
"satur_ratio2",0
"tues_z2",0
"wednes_z2",0
"thurs_z2",0
"satur_z2",0
"sun_z2",0
"day_pat2목요일",0
"day_pat2수요일",0
"day_pat2월요일",0
"day_pat2유형없음",0
"day_pat2일요일",0
"day_pat2토요일",0
"day_pat2화요일",0
"tues_cnt",0
"wednes_cnt",0
"thurs_cnt",0
"fri_cnt",0
"satur_cnt",0
"tues_ratio3",0
"sun_ratio3",0
"tues_z3",0
"thurs_z3",0
"fri_z3",0
"satur_z3",0
"sun_z3",0
"day_pat3목요일",0
"day_pat3수요일",0
"day_pat3월요일",0
"day_pat3유형없음",0
"day_pat3일요일",0
"day_pat3토요일",0
"day_pat3화요일",0
"jan_time",0
"fab_time",0
"apr_time",0
"may_time",0
"jun_time",0
"sep_time",0
"oct_time",0
"nov_time",0
