,Overall
nov_ratio3,8.8404398962
n_v_.2,8.8388844357
cons_cnt8_we,8.8115119909
횟수_건강.의학,8.7852299833
dec_ratio3,8.755025667
time12_z3_we,8.7483859129
n_v_.18,8.7404436133
시간비율_사회.문화.종교,8.7059294721
wk_day,8.7028312147
소모시간_스포츠.레저,8.6863386662
jan_z,8.6770680062
cons_cnt12_we,8.6369187359
cons_cnt12_ratio_we,8.6134389961
time9_z2_we,8.5447874455
cons_cnt13_we,8.5438328586
jan_ratio3,8.4988148792
nov_z3,8.4979572334
횟수_여행,8.4605980389
jul_day,8.4415510995
fab_z,8.4391674026
s_pr_mean,8.4305347872
cons_num13_ratio_we,8.4045406414
소모시간_사회.문화.종교,8.3873151737
mar_z2,8.3761918383
apr_z3,8.3734122932
time9_z_we,8.3330143257
jan_time,8.3257517553
fab_day,8.3193297637
time13_z3_we,8.3104919194
tues_day,8.3076795421
nov_ratio2,8.2884162147
n_v_.15,8.285956079
fab_ratio3,8.2808896252
cons_time18,8.2778739063
cons_num8_wk,8.2304661805
sep_z2,8.214533336
cons_time8,8.2145159924
cons_cnt13_ratio_we,8.2089689843
sep_ratio3,8.2055957679
cons_time18_we,8.1355355836
n_v_.16,8.132256008
jan_ratio,8.0865581106
cons_time18_wk,8.0688467308
jul_time,8.0653932045
oct_z2,8.061183074
cons_time13_we,8.050531551
cons_num18_wk,8.0141537065
mar_ratio,8.0132530859
cons_cnt8,7.9262964271
aug_time,7.9246078502
satur_time,7.9094201988
oct_z3,7.8826944835
fab_z3,7.8735634258
apr_time,7.8690776513
aug_cnt,7.8356206709
cons_cnt9_ratio_we,7.8238224053
cons_time13_ratio_we,7.8135806111
n_v_.17,7.8006520357
소모시간_인터넷.컴퓨터,7.7946895697
jul_cnt,7.776718923
cons_num12_we,7.7694877887
aug_ratio2,7.7493403218
cons_num12_ratio_we,7.7490041824
cons_time12_ratio_we,7.7448955967
jul_z,7.7225512211
time13_z_we,7.7173377289
mar_ratio2,7.7116635003
may_z3,7.6930859643
mar_time,7.6655757752
