CUS_ID,s_v_min,s_t_min,s_pr_min,s_prt_min,s_v_max,s_t_max,s_pr_max,s_prt_max,s_v_mean,s_t_mean,s_pr_mean,s_prt_mean,s_v_median,s_t_median,s_pr_median,s_prt_median,s_v_sd,s_t_sd,s_pr_sd,s_prt_sd
29,1,0,1,0,25,3534,136,220,5.6384180791,623.72881356,26.892655367,22.135739286,4,228,14,17.542857143,4.7927850351,761.52784146,29.364960611,23.993091601
30,1,0,1,0,62,12135,376,139.42857143,14.911262799,2351.6791809,58.211604096,36.126020895,11,1468,38,36.027027027,13.210064246,2559.3339659,63.347240497,22.632443196
31,1,0,1,0,53,9867,372,149,11.855361596,1574.5586035,84.635910224,18.407864767,10,1281,68,16.423076923,8.2579675121,1481.497753,68.791693592,13.282213865
32,1,0,1,0,104,32786,765,75.88,36.980263158,7773.7763158,242.65131579,32.144937206,35.5,6695,220.5,32.454494382,22.450378069,5643.5803759,162.78455513,12.636819454
33,1,0,1,0,52,16979,428,600,12.743506494,1281.3961039,57.769480519,33.196396715,10,677.5,39.5,16.601606859,10.47141868,1822.7939231,60.616018811,68.049967447
34,1,0,1,0,90,13795,321,300,13.930362117,1696.4763231,44.632311978,40.599331545,12,1316,35,37.866666667,11.113339291,1652.0702837,40.763436116,28.618160264
35,1,0,1,0,40,7501,196,295.5,8.7137096774,1250.5362903,33.673387097,38.875489704,7,787,22.5,35.368322981,7.5266526121,1397.9162771,35.397256484,32.878459013
36,1,0,1,0,56,12472,1134,111.18421053,7.095959596,851.74242424,39.601010101,20.530893348,4,216,14,13.538288288,8.4880258351,1737.1522993,95.100253801,20.820160945
37,1,0,1,0,55,18809,940,434,9.3268292683,1352.6195122,56.346341463,30.008656321,6,622,27,23.588235294,9.6627195556,2176.3109373,92.422156163,35.460068559
38,1,0,1,0,124,32690,1263,516,15.342007435,2346.197026,83.535315985,30.888370435,11,1231,46,24.335548173,16.135912403,3909.8409149,122.6533599,41.047241068
39,1,0,1,0,77,10531,406,100.2,19.502222222,1829.2,79.662222222,19.783432849,14,1114,58,19.291666667,16.570769349,2047.6361829,74.194975068,14.250124422
40,1,0,1,0,42,4612,274,157,5.023255814,699.14728682,27.496124031,32.586317818,3,365,13,25.2,5.8208476566,791.04075137,41.109063027,27.405436825
41,1,0,1,0,32,7654,181,353.33333333,4.0943877551,488.06377551,16.645408163,39.588479599,2.5,173,6,24.588435374,4.2521267894,775.89910457,25.325487891,46.052840114
42,1,0,1,0,67,12225,463,131.8,16.260273973,2611.9771689,115.65296804,24.550247597,13,1954.5,92,21.540744838,12.081372538,2290.4671152,94.974442559,16.326814617
43,1,0,1,0,48,13481,336,281.33333333,7.747826087,1160.0782609,37.339130435,34.77489922,5,546.5,16,25.208189655,7.8493940225,1911.5455058,54.204591719,39.149905723
44,1,0,1,0,102,25353,956,232,19.798488665,2634.5944584,144.61712846,21.173820345,15,1561,90,17.711340206,17.422112321,3045.07213,155.50494327,20.288578472
45,1,0,1,0,59,3875,292,247.5,6.4170403587,572.87443946,26.97309417,27.348173561,5,406,18,20.222222222,5.7852776984,604.84813999,32.655852128,31.557181245
46,2,8,3,1.3333333333,4321,108562,22125,40.666666667,718.33333333,18692.583333,3767,8.8264047399,9.5,350,43.5,4.8322308159,1297.7860402,33063.469357,6684.5968397,12.374756272
47,1,0,1,0,170,20110,684,99.666666667,36.056122449,2439.0714286,172.57653061,15.387822424,30,1656.5,135,12.905220808,31.550560372,2589.2018422,148.17134662,14.129165189
48,1,0,1,0,130,16353,794,268.5,25.200716846,2490.953405,133.16845878,18.715280514,18,1230,82,16.035714286,24.466006358,3178.2340705,143.79092889,20.24450055
49,1,0,2,0,103,13322,454,232,34.092896175,3757.4863388,145.67213115,26.388974277,31,3117,132,24.212,21.537524214,2996.3952076,94.199412281,19.408702416
50,1,0,1,0,48,7872,416,186,7.4573170732,1044.5487805,34.091463415,29.85816695,5,461.5,20,21.647687524,6.7365002482,1419.4732378,49.310699911,29.343674123
51,1,0,1,0,90,20626,739,300.5,30.76875,4288.0875,177.3375,25.200969353,26,3636,154.5,22.827128866,22.189924019,3766.2437794,136.19787157,24.946976606
52,1,0,1,0,58,4715,256,177,6.4306569343,375.68978102,18.335766423,17.330314086,4,86,9,10.583333333,7.1966573645,618.91791023,26.742915908,24.441631243
53,1,0,1,0,35,6644,188,599.6,8.0714285714,1049.9357143,38.417857143,31.315725467,7,682.5,28,23.439721254,5.3025223688,1130.6448708,34.638848988,53.354829568
54,1,0,1,0,95,75176,653,193.25449871,26.122807018,6291.4678363,187.04678363,31.158584077,20,3565,154,25.581453634,20.986329031,9091.6322021,156.29669421,26.480497636
55,1,1,1,1,18,3039,111,301.33333333,5.4697986577,484.8590604,17.812080537,32.005060656,5,300,12,23.666666667,3.303007602,501.7449554,16.358512494,32.970070718
56,1,0,1,0,65,9466,577,207.26666667,9.1696428571,869.28571429,43.147321429,20.498119549,6,311.5,21,14.622009569,9.0026288068,1406.280668,67.443054817,24.740901402
57,1,0,1,0,97,10421,537,220,24.036900369,1756.9077491,113.63837638,15.425194779,18,1121,83,12.722532588,20.674696558,1930.0443736,105.33411675,17.008744088
58,1,0,1,0,49,8551,357,188,7.5188284519,1310.4435146,57.066945607,26.340459781,5,863,37,20.139534884,7.4556575078,1404.8048625,61.183047058,21.79724244
59,1,0,1,0,34,6683,371,236.11111111,7.6305732484,913.2866242,41.582802548,21.713167254,6,450.5,25,14.533376123,6.0242180294,1164.4062895,45.722260123,25.856105148
60,1,0,1,0,64,11921,310,199.83333333,11.916449086,1083.9425587,42.953002611,21.23618822,7,395,20,15.111111111,13.238778353,1759.2725983,57.331249167,23.505857596
